# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 20 06:02:50 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
HATS-15 b,HATS-15,1,Transit,1.74748753,0.027120,12.386,689.69110,,1505,5311.00,0.92,0.87,20h44m22.08s,311.0920041,-19d26m15.10s,-19.4375266,1139.5500000
HATS-16 b,HATS-16,1,Transit,2.68650200,0.037440,14.572,1039.30410,,1592,5738.00,1.24,0.97,23h54m14.12s,358.5588439,-30d00m46.94s,-30.0130385,757.0440000
HATS-17 b,HATS-17,1,Transit,16.25461100,0.130800,8.709,425.25654,72.70,814,5846.00,1.09,1.13,12h48m45.50s,192.1895676,-47d36m49.24s,-47.6136789,400.3310000
HATS-18 b,HATS-18,1,Transit,0.83784000,0.017400,14.897,629.14449,2990.00,2069,5600.00,1.02,1.04,11h35m49.78s,173.9574203,-29d09m21.83s,-29.1560639,624.3680000
HATS-2 b,HATS-2,1,Transit,1.35413300,0.023000,13.092,427.46300,,1577,5227.00,0.90,0.88,11h46m57.32s,176.7388264,-22d33m46.83s,-22.5630097,341.9250000
HATS-22 b,HATS-22,1,Transit,4.72281240,0.050250,10.682,870.85420,,858,4803.00,0.69,0.76,11h36m02.37s,174.0098693,-29d32m36.11s,-29.5433642,229.5180000
HATS-23 b,HATS-23,1,Transit,2.16051560,0.033970,20.849,467.21010,,1654,5780.00,1.20,1.12,19h05m28.02s,286.3667500,-50d04m02.46s,-50.0673496,639.0040000
HATS-24 b,HATS-24,1,Transit,1.34849780,0.023800,15.637,718.29580,,2166,6125.00,1.12,1.07,17h55m33.77s,268.8907069,-61d44m50.64s,-61.7474000,494.1820000
HATS-25 b,HATS-25,1,Transit,4.29864320,0.051630,14.123,194.82979,,1277,5715.00,1.11,0.99,13h51m37.84s,207.9076746,-23d46m52.47s,-23.7812403,471.1580000
HATS-26 b,HATS-26,1,Transit,3.30238810,0.047350,19.616,206.58950,,1918,6071.00,2.04,1.30,09h39m42.45s,144.9268593,-28d35m08.16s,-28.5856004,861.8430000
HATS-27 b,HATS-27,1,Transit,4.63703800,0.061100,16.814,168.44990,,1659,6438.00,1.74,1.42,12h54m12.59s,193.5524603,-46d35m15.78s,-46.5877159,816.9880000
HATS-28 b,HATS-28,1,Transit,3.18107810,0.041310,13.384,213.58176,,1253,5498.00,0.92,0.93,18h57m35.94s,284.3997616,-49d08m18.65s,-49.1385126,535.3830000
HATS-29 b,HATS-29,1,Transit,4.60587490,0.054750,14.022,207.54299,,1212,5670.00,1.07,1.03,19h00m23.16s,285.0965172,-54d53m36.03s,-54.8933408,353.8910000
HATS-3 b,HATS-3,1,Transit,3.54785100,0.048500,15.480,340.38200,,1648,6351.00,1.40,1.21,20h49m49.80s,312.4574879,-24d25m43.30s,-24.4286938,411.2110000
HATS-30 b,HATS-30,2,Transit,3.17435160,0.043540,13.171,224.38798,,1414,5943.00,1.06,1.09,00h22m28.45s,5.6185250,-59d56m33.32s,-59.9425892,342.1400000
HATS-31 b,HATS-31,1,Transit,3.37796000,0.047800,18.383,279.69040,,1823,6050.00,1.87,1.27,12h46m48.68s,191.7028214,-24d25m38.60s,-24.4273897,773.9740000
HATS-32 b,HATS-32,1,Transit,2.81265480,0.040240,14.000,292.40360,,1437,5700.00,1.10,1.10,23h04m18.02s,346.0750861,-21d16m19.26s,-21.2720168,745.1160000
HATS-33 b,HATS-33,1,Transit,2.54955510,0.037270,13.787,378.85336,,1429,5659.00,1.02,1.06,19h38m32.09s,294.6336944,-55d19m48.97s,-55.3302692,248.4600000
HATS-34 b,HATS-34,1,Transit,2.10616070,0.031660,16.029,299.07803,,1445,5380.00,0.98,0.95,00h03m05.88s,0.7744866,-62d28m09.54s,-62.4693167,508.8420000
HATS-35 b,HATS-35,1,Transit,1.82099930,0.031990,16.410,388.38826,,2037,6300.00,1.43,1.32,19h46m45.23s,296.6884420,-63d33m56.34s,-63.5656488,514.5550000
HATS-36 b,HATS-36,1,Transit,4.17518600,0.052300,12.920,1022.14128,561.00,1203,5950.00,1.10,1.10,19h25m54.89s,291.4787013,-23d12m10.15s,-23.2028183,856.4360000
HATS-37 A b,HATS-37 A,2,Transit,4.33153660,0.049130,6.793,31.46517,229.70,1085,5326.00,0.88,0.84,13h19m12.44s,199.8018300,-22d59m12.64s,-22.9868431,211.8960000
HATS-38 b,HATS-38,1,Transit,4.37502100,0.050360,6.882,23.51942,464.70,1294,5732.00,1.10,0.89,10h17m05.05s,154.2710615,-25d16m34.67s,-25.2762982,343.5250000
HATS-39 b,HATS-39,1,Transit,4.57763480,0.060070,17.598,200.23290,,1645,6572.00,1.62,1.38,07h29m40.61s,112.4192251,-29d56m16.50s,-29.9379163,878.5210000
HATS-4 b,HATS-4,1,Transit,2.51672900,0.036200,11.433,420.47100,,1315,5403.00,0.93,1.00,06h16m26.90s,94.1120914,-22d32m48.78s,-22.5468824,416.4590000
HATS-40 b,HATS-40,1,Transit,3.26427360,0.049970,17.710,505.34970,,2101,6460.00,2.26,1.56,06h42m17.10s,100.5712467,-29d46m36.41s,-29.7767800,1342.2900000
HATS-41 b,HATS-41,1,Transit,4.19364900,0.058300,14.908,3082.95100,,1710,6424.00,1.71,1.50,06h54m04.17s,103.5173558,-27d03m01.50s,-27.0504156,737.6680000
HATS-42 b,HATS-42,1,Transit,2.29210200,0.036890,15.693,597.52040,,1856,6060.00,1.48,1.27,07h13m48.58s,108.4523991,-33d26m14.45s,-33.4373462,800.3770000
HATS-43 b,HATS-43,1,Transit,4.38884970,0.049440,13.227,82.95363,,1003,5099.00,0.81,0.84,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179,362.2730000
HATS-44 b,HATS-44,1,Transit,2.74390040,0.036490,11.960,177.98480,,1161,5080.00,0.85,0.86,05h37m18.42s,84.3267559,-27d58m21.27s,-27.9725758,446.0350000
HATS-45 b,HATS-45,1,Transit,4.18762440,0.055110,14.415,222.48100,,1518,6450.00,1.31,1.27,06h47m58.62s,101.9942455,-21d54m38.56s,-21.9107112,772.1100000
HATS-46 b,HATS-46,1,Transit,4.74237290,0.053670,10.122,54.98459,,1054,5495.00,0.85,0.92,00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021,453.8080000
HATS-47 b,HATS-47,1,Transit,3.92280380,0.042690,12.520,117.27927,87.73,853,4512.00,0.66,0.67,19h09m56.26s,287.4844021,-49d39m53.79s,-49.6649424,300.6700000
HATS-48 A b,HATS-48 A,2,Transit,3.13166660,0.037690,8.967,77.23269,137.60,955,4546.00,0.72,0.73,19h14m41.28s,288.6720048,-59d34m45.66s,-59.5793505,263.6090000
HATS-49 b,HATS-49,1,Transit,4.14804670,0.045150,8.575,112.19399,80.45,835,4405.00,0.70,0.71,00h26m27.26s,6.6135927,-56d20m39.41s,-56.3442798,324.4130000
HATS-5 b,HATS-5,1,Transit,4.76338700,0.054200,10.223,75.32300,,1025,5304.00,0.87,0.94,04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568,246.3840000
HATS-50 b,HATS-50,1,Transit,3.82970150,0.050460,12.666,123.95370,,,5990.00,1.12,1.17,20h01m42.74s,300.4280761,-26d04m39.23s,-26.0775640,756.7420000
HATS-51 b,HATS-51,1,Transit,3.34887020,0.046390,15.805,244.09344,,1553,5758.00,1.44,1.19,06h51m23.38s,102.8474248,-29d03m31.16s,-29.0586551,389.5700000
HATS-52 b,HATS-52,1,Transit,1.36665436,0.024980,15.491,711.93920,,1834,6010.00,1.05,1.11,09h20m21.02s,140.0875894,-31d16m09.16s,-31.2692116,555.1340000
HATS-53 b,HATS-53,1,Transit,3.85377680,0.047530,15.020,189.10885,,1312,5644.00,1.10,0.96,11h46m30.80s,176.6283230,-33d51m36.28s,-33.8600764,585.7700000
HATS-54 b,HATS-54,1,Transit,2.54418280,0.037630,11.960,241.55080,,1625,5702.00,1.32,1.10,13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393,748.5850000
HATS-55 b,HATS-55,1,Transit,4.20420010,0.054120,14.022,292.72143,,1367,6214.00,1.13,1.20,07h37m08.01s,114.2833819,-32d45m19.51s,-32.7554188,609.8380000
HATS-56 b,HATS-56,1,Transit,4.32479900,0.060430,18.921,191.33366,,1902,6536.00,2.20,1.57,12h00m39.62s,180.1650720,-45d47m58.04s,-45.7994559,564.4090000
HATS-57 b,HATS-57,1,Transit,2.35062100,0.034930,12.767,1000.21101,,1413,5587.00,0.96,1.03,04h03m47.59s,60.9482779,-19d03m24.55s,-19.0568182,279.4850000
HATS-58 A b,HATS-58 A,2,Transit,4.21808960,0.057980,12.274,327.36490,,1721,7175.00,1.43,1.46,12h27m08.95s,186.7873036,-48d58m42.28s,-48.9784105,403.5910000
HATS-59 b,HATS-59,1,Transit,5.41608100,0.061120,12.621,256.17098,269.00,1128,5670.00,1.04,1.04,11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770,642.8840000
HATS-59 c,HATS-59,1,Radial Velocity,1422.00000000,2.504000,12.300,4036.44100,0.16,176,5670.00,1.04,1.04,11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770,642.8840000
HATS-6 b,HATS-6,1,Transit,3.32527250,0.036230,11.187,101.38777,,713,3724.00,0.57,0.57,05h52m35.23s,88.1468079,-19d01m53.86s,-19.0316268,169.3180000
HATS-60 b,HATS-60,1,Transit,3.56082900,0.047080,12.924,210.40346,903.90,1528,5688.00,1.46,1.10,22h45m27.37s,341.3640336,-14d59m30.39s,-14.9917747,486.4740000
HATS-61 b,HATS-61,1,Transit,7.81795300,0.079080,13.395,1080.62200,374.20,1226,5542.00,1.66,1.08,04h06m37.87s,61.6578005,-25d20m58.80s,-25.3496674,679.7610000
HATS-62 b,HATS-62,1,Transit,3.27688370,0.041630,11.825,56.89157,387.40,1237,5416.00,0.93,0.90,20h49m47.83s,312.4493079,-24d18m12.62s,-24.3035060,523.0670000
HATS-63 b,HATS-63,1,Transit,3.05665270,0.040260,13.529,305.11680,634.10,1398,5627.00,1.07,0.93,04h29m40.46s,67.4185820,-28d11m49.97s,-28.1972149,623.2320000
HATS-64 b,HATS-64,1,Transit,4.90889700,0.065620,18.820,305.11680,1711.00,1793,6554.00,2.11,1.56,09h37m09.03s,144.2876092,-29d48m01.60s,-29.8004440,1080.1500000
HATS-65 b,HATS-65,2,Transit,3.10516100,0.044970,16.825,260.93843,1178.00,1634,6277.00,1.31,1.26,19h31m45.55s,292.9397825,-26d44m24.73s,-26.7402021,493.3200000
HATS-66 b,HATS-66,1,Transit,3.14143910,0.047140,15.816,1694.03390,2637.00,1998,6626.00,1.84,1.41,06h45m34.75s,101.3948048,-33d52m54.09s,-33.8816918,1477.9800000
HATS-67 b,HATS-67,1,Transit,1.60917880,0.030320,18.887,460.85350,3821.00,2193,6594.00,1.44,1.44,12h00m50.11s,180.2087883,-46d08m11.11s,-46.1364201,960.1090000
HATS-68 b,HATS-68,1,Transit,3.58622020,0.050710,13.809,410.00070,1521.00,1741,6147.00,1.75,1.35,01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242,603.9550000
HATS-69 b,HATS-69,1,Transit,2.22525770,0.032110,10.593,183.38791,466.60,1296,5137.00,0.88,0.89,19h17m11.38s,289.2974275,-60d53m30.34s,-60.8917599,414.5370000
HATS-7 b,HATS-7,1,Transit,3.18531500,0.040120,6.311,38.13960,,1084,4985.00,0.81,0.85,13h55m25.62s,208.8567465,-21d12m28.29s,-21.2078587,240.7070000
HATS-70 b,HATS-70,1,Transit,1.88823780,0.036320,15.513,4100.00700,9110.00,2730,7930.00,1.88,1.78,07h16m25.09s,109.1045212,-31d14m39.82s,-31.2443947,1458.8300000
HATS-71 b,HATS-71,1,Transit,3.79552020,0.037450,11.478,117.59710,18.08,587,3405.00,0.48,0.49,01h02m12.45s,15.5518893,-61d45m22.08s,-61.7561333,140.2250000
HATS-72 b,HATS-72,1,Transit,7.32794740,0.066517,8.097,39.85588,49.58,739,4656.10,0.72,0.73,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,127.5890000
HATS-8 b,HATS-8,1,Transit,3.58389300,0.046670,9.785,43.86054,,1324,5679.00,1.09,1.06,19h39m46.01s,294.9416887,-25d44m54.12s,-25.7483655,794.6370000
HATS-9 b,HATS-9,1,Transit,1.91529100,0.031200,13.850,266.02371,,1746,5599.00,1.56,1.10,19h23m14.44s,290.8101704,-20d09m58.96s,-20.1663771,638.7000000
HD 100546 b,HD 100546,1,Imaging,,53.000000,77.342,239000.00000,,,10500.00,1.85,2.40,11h33m25.32s,173.3555116,-70d11m41.24s,-70.1947897,109.6770000
HD 100655 b,HD 100655,2,Radial Velocity,157.57001000,0.680000,13.500,511.70630,,,4891.00,10.06,2.28,11h35m03.69s,173.7653631,+20d26m29.55s,20.4415410,137.1780000
HD 100777 b,HD 100777,1,Radial Velocity,383.70001000,1.030000,13.800,327.36490,,,5533.00,1.04,0.83,11h35m51.51s,173.9646303,-04d45m19.95s,-4.7555425,49.5336000
HD 10180 c,HD 10180,1,Radial Velocity,5.75969000,0.064120,3.680,13.10000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 10180 d,HD 10180,1,Radial Velocity,16.35700000,0.128590,3.450,11.75000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 10180 e,HD 10180,1,Radial Velocity,49.74800000,0.269900,5.390,25.10000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 10180 f,HD 10180,1,Radial Velocity,122.74400000,0.492900,5.240,23.90000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 10180 g,HD 10180,1,Radial Velocity,604.67000000,1.427000,4.910,21.40000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 10180 h,HD 10180,1,Radial Velocity,2205.00000000,3.381000,9.400,64.40000,,,5911.00,1.11,1.06,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881,38.9607000
HD 101930 b,HD 101930,2,Radial Velocity,70.46000000,0.300000,10.600,79.45750,,,5108.00,0.86,0.57,11h43m30.15s,175.8756080,-58d00m19.37s,-58.0053798,30.0274000
HD 102117 b,HD 102117,1,Radial Velocity,20.81330000,0.150000,8.470,54.03110,,,5655.00,1.23,1.06,11h44m50.33s,176.2097267,-58d42m14.45s,-58.7040134,39.5792000
HD 102195 b,HD 102195,1,Radial Velocity,4.11377000,0.050000,14.200,130.31030,,,5301.00,0.82,0.76,11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912,29.3386000
HD 102272 b,HD 102272,1,Radial Velocity,127.58000000,0.510000,12.900,1570.08020,,,4790.00,10.30,1.45,11h46m23.53s,176.5980316,+14d07m26.47s,14.1240201,347.0970000
HD 102329 b,HD 102329,1,Radial Velocity,778.09998000,1.810000,12.600,2593.49280,,,4745.00,9.82,3.21,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,217.1070000
HD 102329 c,HD 102329,1,Radial Velocity,1123.00000000,,13.500,483.10160,,,4830.00,6.30,1.30,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143,217.1070000
HD 102365 b,HD 102365,2,Radial Velocity,122.10000000,0.460000,4.140,16.00000,,,5630.00,0.95,0.85,11h46m28.99s,176.6208003,-40d29m55.04s,-40.4986211,9.2894000
HD 102843 b,HD 102843,1,Radial Velocity,3090.94200000,4.074000,13.100,113.90000,,,5436.00,0.96,0.95,11h50m20.51s,177.5854673,-01d15m08.28s,-1.2522989,62.7580000
HD 102956 b,HD 102956,2,Radial Velocity,6.49470000,0.080700,13.800,305.11680,,,4985.00,4.55,1.66,11h51m22.49s,177.8436988,+57d38m26.37s,57.6406584,121.8900000
HD 103197 b,HD 103197,1,Radial Velocity,47.84000000,0.250000,5.830,28.60470,,,5250.00,0.88,0.80,11h52m52.85s,178.2201971,-50d17m34.05s,-50.2927911,57.1463000
HD 103720 b,HD 103720,1,Radial Velocity,4.55570000,0.049800,14.100,197.04600,,,5017.00,0.73,0.79,11h56m41.12s,179.1713308,-02d46m44.90s,-2.7791393,45.5352000
HD 103774 b,HD 103774,2,Radial Velocity,5.88810000,0.070000,13.300,116.00000,,,6489.00,1.58,1.33,11h56m55.46s,179.2310729,-12d06m28.78s,-12.1079951,56.4089000
HD 103949 b,HD 103949,1,Radial Velocity,120.87800000,0.439000,3.350,11.20000,,,4792.00,0.75,0.77,11h58m11.51s,179.5479558,-23d55m26.84s,-23.9241221,26.4997000
HD 104067 b,HD 104067,1,Radial Velocity,55.80600000,0.260000,8.180,50.85280,,,4937.00,0.74,0.62,11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058,20.3632000
HD 10442 b,HD 10442,1,Radial Velocity,1032.30000000,2.010000,13.600,472.61321,,,4912.00,1.97,1.01,01h41m53.17s,25.4715240,+02d42m15.91s,2.7044193,135.3740000
HD 104985 b,HD 104985,1,Radial Velocity,199.50500000,0.950000,12.600,2637.90000,,,4877.00,11.00,2.30,12h05m15.79s,181.3157854,+76d54m19.21s,76.9053359,100.5760000
HD 106252 b,HD 106252,1,Radial Velocity,1531.00000000,2.610000,12.700,2202.56190,,,5874.00,1.10,1.01,12h13m29.53s,183.3730583,+10d02m25.55s,10.0404302,38.1850000
HD 106270 b,HD 106270,1,Radial Velocity,1888.00000000,3.340000,12.500,3219.61790,,,5509.00,2.66,1.39,12h13m37.18s,183.4049258,-09d30m48.83s,-9.5135645,93.8080000
HD 106315 b,HD 106315,1,Transit,9.55237000,0.090700,2.440,12.60000,240.00,1153,6327.00,1.30,1.09,12h13m53.39s,183.4724742,-00d23m36.37s,-0.3934357,109.3530000
HD 106315 c,HD 106315,1,Transit,21.05704000,0.153600,4.350,15.20000,83.00,886,6327.00,1.30,1.09,12h13m53.39s,183.4724742,-00d23m36.37s,-0.3934357,109.3530000
HD 10647 b,HD 10647,1,Radial Velocity,989.20000000,2.015000,13.800,298.75000,,,6218.00,1.10,1.11,01h42m29.60s,25.6233526,-53d44m28.63s,-53.7412852,17.3357000
HD 106515 A b,HD 106515 A,2,Radial Velocity,3630.00000000,4.590000,12.500,3054.22000,,,5362.00,1.62,0.97,12h15m06.30s,183.7762699,-07d15m27.15s,-7.2575413,34.0915000
HD 106906 b,HD 106906,1,Imaging,,650.000000,12.400,3496.00000,,1800,6516.00,2.12,1.50,12h17m53.12s,184.4713308,-55d58m32.09s,-55.9755805,103.0290000
HD 10697 b,HD 10697,1,Radial Velocity,1075.69000000,2.140000,12.700,2028.70889,,,5600.00,1.79,1.13,01h44m55.78s,26.2324076,+20d04m57.71s,20.0826974,33.1205000
HD 107148 b,HD 107148,2,Radial Velocity,48.05600000,0.269000,9.600,66.74100,,,5797.00,1.15,1.12,12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,49.4156000
HD 107148 c,HD 107148,2,Radial Velocity,18.32670000,0.140700,4.700,19.89606,,,5752.92,1.17,1.11,12h19m13.43s,184.8059773,-03d19m11.97s,-3.3199927,49.4156000
HD 108147 b,HD 108147,1,Radial Velocity,10.89850000,0.102000,10.900,82.95000,,890,6255.73,1.21,1.22,12h25m45.84s,186.4409852,-64d01m20.46s,-64.0223492,38.9200000
HD 108236 b,HD 108236,1,Transit,3.79596300,0.045270,1.615,3.24000,,1099,5660.00,0.88,0.87,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000
HD 108236 c,HD 108236,1,Transit,6.20344900,0.062000,2.071,4.94000,81.40,932,5660.00,0.88,0.87,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000
HD 108236 d,HD 108236,1,Transit,14.17568500,0.107400,2.539,6.98000,68.16,708,5660.00,0.88,0.87,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000
HD 108236 e,HD 108236,1,Transit,19.59002500,0.136700,3.083,9.71000,58.72,636,5660.00,0.88,0.87,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000
HD 108236 f,HD 108236,1,Transit,29.54115000,0.175800,2.017,4.72000,,,5660.00,0.88,0.87,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000
HD 108341 b,HD 108341,2,Radial Velocity,1129.00000000,2.000000,13.100,1112.40000,,,5122.00,0.79,0.84,12h27m31.00s,186.8791724,-71d25m20.96s,-71.4224896,48.9102000
HD 108863 b,HD 108863,1,Radial Velocity,437.70000000,1.320000,13.300,767.24162,,,4878.00,5.74,1.59,12h30m19.83s,187.5826081,+21d56m53.16s,21.9480993,164.7420000
HD 108874 b,HD 108874,1,Radial Velocity,394.48123000,1.040000,13.600,451.31860,,,5600.00,1.05,1.10,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175000
HD 108874 c,HD 108874,1,Radial Velocity,1624.00000000,2.659000,13.800,314.64000,,,5551.00,1.09,0.95,12h30m27.02s,187.6126029,+22d52m45.98s,22.8794399,59.5175000
HD 109246 b,HD 109246,1,Radial Velocity,68.27000000,0.330000,13.900,273.33380,,,5844.00,1.07,1.20,12h32m06.52s,188.0271840,+74d29m21.62s,74.4893379,67.8349000
HD 109271 b,HD 109271,1,Radial Velocity,7.85430000,0.079000,4.310,17.16200,,,5783.00,1.29,1.05,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.8716000
HD 109271 c,HD 109271,1,Radial Velocity,30.93000000,0.196000,5.270,24.15400,,,5783.00,1.29,1.05,12h33m35.38s,188.3973970,-11d37m17.47s,-11.6215204,55.8716000
HD 109749 b,HD 109749,2,Radial Velocity,5.23989100,0.061500,11.100,85.81410,,,5824.00,1.22,1.13,12h37m16.16s,189.3173489,-40d48m43.72s,-40.8121458,63.0821000
HD 110014 b,HD 110014,1,Radial Velocity,835.47700000,2.140000,12.400,3524.59000,,,4445.00,20.90,2.17,12h39m14.69s,189.8111935,-07d59m44.41s,-7.9956702,100.7580000
HD 110082 b,HD 110082,2,Transit,10.18271000,0.113000,3.200,10.30000,196.70,955,6200.00,1.19,1.21,12h50m21.43s,192.5892855,-88d07m16.00s,-88.1211107,105.0960000
HD 110113 b,HD 110113,1,Transit,2.54100000,0.035000,2.050,4.55000,735.49,1371,5732.00,0.97,1.00,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.3070000
HD 110113 c,HD 110113,1,Radial Velocity,6.74400000,0.068000,3.230,10.50000,199.90,990,5732.00,0.97,1.00,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.3070000
HD 111232 b,HD 111232,1,Radial Velocity,1143.00000000,1.970000,12.700,2269.30620,,,5512.00,0.90,0.84,12h48m51.83s,192.2159553,-68d25m28.80s,-68.4246679,28.9571000
HD 111591 b,HD 111591,1,Radial Velocity,1056.40000000,2.500000,12.900,1398.45200,,,4884.00,8.03,1.94,12h50m17.41s,192.5725483,+22d51m47.26s,22.8631285,114.1660000
HD 111998 b,HD 111998,1,Radial Velocity,825.90000000,1.820000,12.900,1433.41330,,,6557.00,1.45,1.18,12h53m10.88s,193.2953521,-03d33m11.21s,-3.5531133,33.2237000
HD 112640 b,HD 112640,1,Radial Velocity,613.20000000,1.700000,12.900,1589.15000,,,4155.00,39.00,1.80,12h56m57.96s,194.2415171,+67d14m34.48s,67.2429122,323.3350000
HD 113337 b,HD 113337,1,Radial Velocity,324.00000000,0.920000,13.200,899.42000,,,6576.60,1.50,1.40,13h01m46.52s,195.4438496,+63d36m37.18s,63.6103280,36.1800000
HD 113538 b,HD 113538,1,Radial Velocity,663.20000000,1.240000,13.200,114.41000,,,4462.00,0.53,0.58,13h04m56.14s,196.2339330,-52d26m46.86s,-52.4463502,16.2817000
HD 113538 c,HD 113538,1,Radial Velocity,1818.00000000,2.440000,13.800,295.57000,,,4462.00,0.53,0.58,13h04m56.14s,196.2339330,-52d26m46.86s,-52.4463502,16.2817000
HD 113996 b,HD 113996,2,Radial Velocity,610.20000000,1.600000,12.700,2002.32900,,,4181.00,25.11,1.49,13h07m10.77s,196.7948740,+27d37m27.98s,27.6244384,116.3340000
HD 114386 b,HD 114386,1,Radial Velocity,937.70001000,1.730000,13.700,362.32620,,,4836.00,0.76,0.60,13h10m39.65s,197.6652124,-35d03m22.25s,-35.0561807,27.9243000
HD 114613 b,HD 114613,1,Radial Velocity,4000.00000000,5.340000,13.100,113.46531,,,5641.00,2.14,1.27,13h12m02.68s,198.0111842,-37d48m10.16s,-37.8028236,20.2836000
HD 114729 b,HD 114729,2,Radial Velocity,1121.79000000,2.067000,13.900,262.20975,,,5844.00,1.47,0.94,13h12m44.02s,198.1833997,-31d52m28.83s,-31.8746756,37.8063000
HD 114762 b,HD 114762,2,Radial Velocity,83.91510000,0.360000,12.440,3397.60270,,,5869.00,1.20,0.80,13h12m19.11s,198.0796310,+17d31m01.65s,17.5171240,40.1949000
HD 114783 b,HD 114783,1,Radial Velocity,493.70000000,1.160000,13.700,349.60000,,,5135.00,0.84,0.85,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.0628000
HD 114783 c,HD 114783,1,Radial Velocity,4319.00000000,,14.100,194.19413,,,5098.00,0.83,0.85,13h12m43.64s,198.1818436,-02d15m53.97s,-2.2649921,21.0628000
HD 11506 b,HD 11506,1,Radial Velocity,1622.10000000,2.900000,12.900,1535.11890,,,6030.00,1.34,1.24,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000
HD 11506 c,HD 11506,1,Radial Velocity,223.41000000,0.774000,14.200,129.67464,,,6030.00,1.34,1.24,01h52m50.56s,28.2106607,-19d30m26.63s,-19.5073960,51.2610000
HD 116029 b,HD 116029,2,Radial Velocity,670.00000000,1.650000,13.600,444.96200,,,4819.00,4.89,0.83,13h20m39.53s,200.1646905,+24d38m54.50s,24.6484725,123.2450000
HD 116029 c,HD 116029,2,Radial Velocity,907.00000000,,13.700,403.64410,,,4951.00,4.60,1.33,13h20m39.53s,200.1646905,+24d38m54.50s,24.6484725,123.2450000
HD 117207 b,HD 117207,1,Radial Velocity,2621.75000000,3.787000,13.400,612.14058,,,5732.00,1.07,1.05,13h29m20.85s,202.3368806,-35d34m16.69s,-35.5713041,32.3547000
HD 11755 b,HD 11755,1,Radial Velocity,433.70001000,1.090000,12.800,1789.38290,,,4312.00,20.58,0.72,01h58m49.88s,29.7078360,+73d09m07.69s,73.1521372,235.0450000
HD 117618 b,HD 117618,1,Radial Velocity,25.80000000,0.180000,8.590,55.30242,,,5990.00,1.20,1.08,13h32m25.59s,203.1066418,-47d16m18.86s,-47.2719049,37.7781000
